Players_1,Players_2,Players_3,Players_4,Players_5,Players_6,Players_7,Players_8,Players_9,Players_10,Players_11,Players_12
MDKJ Perera,TM Dilshan,KC Sangakkara,LD Chandimal,SMA Priyanjan,AD Mathews,NLTC Perera,KDK Vithanage,SL Malinga,SMSM Senanayake,BAW Mendis,Anamul Haque
Anamul Haque,Shamsur Rahman,Mominul Haque,Mushfiqur Rahim,Naeem Islam,Nasir Hossain,Mahmudullah,Sohag Gazi,Shafiul Islam,Arafat Sunny,Rubel Hossain,MDKJ Perera
MH Cross,CS MacLeod,MW Machan,PL Mommsen,FRJ Coleman,RML Taylor,RD Berrington,MA Leask,SM Sharif,RM Haq,I Wardlaw,R Gunasekera
SJ Myburgh,W Barresi,ES Szwarczynski,PW Borren,MR Swart,Mudassar Bukhari,BN Cooper,PA van Meekeren,Ahsan Malik,MJG Rippon,PM Seelaar,IA Karim
R Gunasekera,NR Kumar,AS Hansra,Raza-ur-Rehman,TC Bastiampillai,Hamza Tariq,Usman Limbada,Khurram Chohan,HS Baidwan,JOA Gordon,PA Desai,SJ Myburgh
IA Karim,AA Obanda,RG Aga,CO Obuya,MA Ouma,RR Patel,TM Odoyo,NN Odhiambo,HA Varaiya,E Otieno,SO Ngoche,MH Cross
Nain Abidi,Javeria Rauf,Sidra Ameen,Nida Dar,Bismah Maroof,Asmavia Iqbal,Sania Khan,Qanita Jalil,Sana Mir,Sadia Yousuf,0,CMA Shillington
WTS Porterfield,PR Stirling,EC Joyce,NJ O'Brien,GC Wilson,KJ O'Brien,AD Poynter,SR Thompson,MC Sorensen,GH Dockrell,TJ Murtagh,DR Smith
MDKJ Perera,HDRL Thirimanne,WU Tharanga,LD Chandimal,AD Mathews,KDK Vithanage,SMA Priyanjan,KMDN Kulasekara,SMSM Senanayake,BAW Mendis,RAS Lakmal,WTS Porterfield
MDKJ Perera,HDRL Thirimanne,KC Sangakkara,DPMD Jayawardene,AD Mathews,NLTC Perera,PC de Silva,LD Chandimal,SL Malinga,RAS Lakmal,SMSM Senanayake,Sharjeel Khan
Anamul Haque,Shamsur Rahman,Mominul Haque,Mushfiqur Rahim,Naeem Islam,Nasir Hossain,Ziaur Rahman,Sohag Gazi,Mashrafe Mortaza,Rubel Hossain,Abdur Razzak,RG Sharma
RG Sharma,S Dhawan,V Kohli,AM Rahane,AT Rayudu,KD Karthik,RA Jadeja,STR Binny,R Ashwin,B Kumar,Mohammed Shami,MDKJ Perera
Mohammad Shahzad,Karim Sadiq,Najibullah Zadran,Asghar Stanikzai,Nawroz Mangal,Mohammad Nabi,Samiullah Shenwari,Mirwais Ashraf,Shapoor Zadran,Hamid Hassan,Amir Hamza,Anamul Haque
RG Sharma,S Dhawan,V Kohli,AM Rahane,AT Rayudu,KD Karthik,RA Jadeja,R Ashwin,Mohammed Shami,A Mishra,B Kumar,Sharjeel Khan
Anamul Haque,Imrul Kayes,Mominul Haque,Mushfiqur Rahim,Shakib Al Hasan,Shafiul Islam,Al-Amin Hossain,Abdur Razzak,Mahmudullah,Nasir Hossain,0,Ahmed Shehzad
Noor Ali Zadran,Nawroz Mangal,Rahmat Shah,Asghar Stanikzai,Najibullah Zadran,Mohammad Nabi,Mohammad Shahzad,Samiullah Shenwari,Mirwais Ashraf,Shapoor Zadran,Dawlat Zadran,AM Rahane
Anamul Haque,Shamsur Rahman,Mominul Haque,Mushfiqur Rahim,Shakib Al Hasan,Nasir Hossain,Mahmudullah,Ziaur Rahman,Arafat Sunny,Rubel Hossain,Al-Amin Hossain,MDKJ Perera
Sharjeel Khan,Ahmed Shehzad,Mohammad Hafeez,Misbah-ul-Haq,Fawad Alam,Umar Akmal,Shahid Afridi,Umar Gul,Junaid Khan,Saeed Ajmal,Mohammad Talha,MDKJ Perera
HM Amla,RR Rossouw,F du Plessis,AB de Villiers,DA Miller,JP Duminy,F Behardien,VD Philander,DW Steyn,M Morkel,Imran Tahir,DR Smith
HM Amla,RR Rossouw,AB de Villiers,DA Miller,M Morkel,VD Philander,DW Steyn,JP Duminy,Imran Tahir,F Behardien,0,DR Smith
DR Smith,N Deonarine,CH Gayle,MN Samuels,D Ramdin,JL Carter,AD Russell,CR Brathwaite,JO Holder,JE Taylor,SJ Benn,RR Rossouw
MN van Wyk,RR Rossouw,F du Plessis,DA Miller,AB de Villiers,JP Duminy,F Behardien,WD Parnell,AM Phangiso,KJ Abbott,M Morkel,DR Smith
Q de Kock,HM Amla,F du Plessis,RR Rossouw,DA Miller,JP Duminy,F Behardien,KJ Abbott,M de Lange,WD Parnell,AM Phangiso,CH Gayle
S Mandhana,MDT Kamini,KV Jain,M Raj,H Kaur,VR Vanitha,J Goswami,S Pandey,N Niranjana,E Bisht,RS Gayakwad,CM Edwards
CM Edwards,HC Knight,SJ Taylor,L Winfield,LS Greenway,TT Beaumont,NR Sciver,JL Gunn,D Hazell,A Shrubsole,KL Cross,S Mandhana
Fikri Rosdi,Nasir Shafiq,Ahmed Faiz Mohammad Noor,Suhan Alagaratnam,Shafiq Sharif,Anwar Arudin,Khizar Hayat,Nazril Rahman,Pavandeep Singh,Shahrulnizam Yusof,HG Mohammed,RA Sealy
IR Rotsey,RA Sealy,AE Hall,OR Willis,RN Roach,Ronald Ebanks,KR Ebanks,C Wright,T Taylor,A Morris,N Sellars,E Ofem
Fikri Rosdi,Nasir Shafiq,Ahmed Faiz Mohammad Noor,Suhan Alagaratnam,Shafiq Sharif,Anwar Arudin,Khizar Hayat,HG Mohammed,HB Ralalage,Pavandeep Singh,Shahrulnizam Yusof,LJ Barker
AA Onikoyi,Ricky Sharma,EA Okwudili,AP Adegbola,OJ Bejide,O Olatunji,AM Oyede,O Onwuzulike,OA Olympio,SO Akolade,JO Ogunlola,S Khalifa
AJ Finch,SPD Smith,DA Warner,GJ Bailey,GJ Maxwell,JP Faulkner,BJ Haddin,SA Abbott,MG Johnson,KW Richardson,NM Lyon,Ahmed Shehzad
Ahmed Shehzad,Sarfraz Ahmed,Asad Shafiq,Misbah-ul-Haq,Umar Akmal,Fawad Alam,Shahid Afridi,Wahab Riaz,Raza Hasan,Zulfiqar Babar,Mohammad Irfan,DA Warner
AJ Finch,DA Warner,SPD Smith,GJ Bailey,GJ Maxwell,PJ Hughes,BJ Haddin,JP Faulkner,MA Starc,KW Richardson,XJ Doherty,Ahmed Shehzad
MH Cross,CS MacLeod,HJW Gardiner,PL Mommsen,RD Berrington,FRJ Coleman,JH Davey,MA Leask,SM Sharif,RM Haq,I Wardlaw,A Balbirnie
MH Cross,HJW Gardiner,CS MacLeod,PL Mommsen,RD Berrington,FRJ Coleman,JH Davey,MA Leask,RM Haq,AC Evans,I Wardlaw,A Balbirnie
A Balbirnie,J Anderson,SR Thompson,KJ O'Brien,AD Poynter,JF Mooney,SW Poynter,AR White,MC Sorensen,CA Young,GJ McCarter,MH Cross
JH Kallis,MK Pandey,G Gambhir,RV Uthappa,Shakib Al Hasan,YK Pathan,SA Yadav,R Vinay Kumar,M Morkel,PP Chawla,SP Narine,M Vijay
DR Smith,BB McCullum,SK Raina,F du Plessis,MS Dhoni,RA Jadeja,M Manhas,R Ashwin,BW Hilfenhaus,IC Pandey,MM Sharma,MA Agarwal
DR Smith,BB McCullum,SK Raina,F du Plessis,MS Dhoni,RA Jadeja,M Manhas,R Ashwin,BW Hilfenhaus,IC Pandey,MM Sharma,AM Nayar
JH Kallis,G Gambhir,MK Pandey,CA Lynn,YK Pathan,RV Uthappa,SA Yadav,R Vinay Kumar,UT Yadav,M Morkel,SP Narine,PA Patel
CH Gayle,PA Patel,V Kohli,YV Takawale,Yuvraj Singh,AB de Villiers,JA Morkel,MA Starc,VR Aaron,AB Dinda,YS Chahal,CA Pujara
HM Amla,Q de Kock,JH Kallis,AB de Villiers,JP Duminy,DA Miller,R McLaren,DW Steyn,VD Philander,M Morkel,Imran Tahir,MDKJ Perera
MDKJ Perera,TM Dilshan,KC Sangakkara,HDRL Thirimanne,DPMD Jayawardene,AD Mathews,SMA Priyanjan,KMDN Kulasekara,SMSM Senanayake,BAW Mendis,SL Malinga,HM Amla
HM Amla,Q de Kock,JH Kallis,AB de Villiers,JP Duminy,R McLaren,DA Miller,DW Steyn,M Morkel,WD Parnell,Imran Tahir,MDKJ Perera
Tamim Iqbal,Anamul Haque,Imrul Kayes,Shamsur Rahman,Mushfiqur Rahim,Mahmudullah,Nasir Hossain,Sohag Gazi,Mashrafe Mortaza,Taskin Ahmed,Al-Amin Hossain,CH Gayle
CH Gayle,KA Edwards,DM Bravo,D Ramdin,LMP Simmons,KA Pollard,DJ Bravo,SP Narine,JO Holder,R Rampaul,KAJ Roach,Tamim Iqbal
LMP Simmons,CH Gayle,D Ramdin,DM Bravo,KA Pollard,DJG Sammy,DJ Bravo,JO Holder,SP Narine,R Rampaul,KAJ Roach,Tamim Iqbal
BR Dunk,CM Gautam,AT Rayudu,RG Sharma,CJ Anderson,KA Pollard,AP Tare,P Suyal,JJ Bumrah,Harbhajan Singh,SL Malinga,CH Gayle
S Dhawan,AJ Finch,KL Rahul,NV Ojha,DA Warner,MC Henriques,IK Pathan,KV Sharma,DW Steyn,A Mishra,B Kumar,AM Rahane
LMP Simmons,CM Gautam,AT Rayudu,RG Sharma,KA Pollard,AP Tare,CJ Anderson,P Kumar,SL Malinga,JJ Bumrah,Harbhajan Singh,DR Smith
V Kohli,CH Gayle,VH Zol,AB de Villiers,Yuvraj Singh,JA Morkel,PA Patel,MA Starc,AB Dinda,VR Aaron,YS Chahal,AM Rahane
AJ Finch,S Dhawan,KL Rahul,DA Warner,NV Ojha,DW Steyn,B Kumar,IK Pathan,A Mishra,KV Sharma,MC Henriques,LMP Simmons
CH Gayle,PA Patel,V Kohli,AB de Villiers,Yuvraj Singh,S Rana,M Muralitharan,MA Starc,AN Ahmed,YS Chahal,0,M Vijay
AJ Finch,S Dhawan,NV Ojha,DA Warner,MC Henriques,IK Pathan,KV Sharma,B Kumar,DW Steyn,A Mishra,0,V Sehwag
AM Rahane,KK Nair,KK Cooper,SV Samson,STR Binny,BCJ Cutting,JP Faulkner,DS Kulkarni,PV Tambe,R Bhatia,0,KP Pietersen
AJ Finch,S Dhawan,NV Ojha,DA Warner,KL Rahul,IK Pathan,DJG Sammy,KV Sharma,DW Steyn,B Kumar,A Mishra,RV Uthappa
DR Smith,BB McCullum,SK Raina,F du Plessis,MS Dhoni,RA Jadeja,BW Hilfenhaus,IC Pandey,MM Sharma,R Ashwin,0,RV Uthappa
RR Rossouw,YV Takawale,VH Zol,V Kohli,Yuvraj Singh,AB de Villiers,S Rana,MA Starc,SB Jakati,R Rampaul,YS Chahal,DR Smith
DA Warner,NV Ojha,S Dhawan,Y Venugopal Rao,DJG Sammy,S Anirudha,JO Holder,KV Sharma,Parvez Rasool,B Kumar,DW Steyn,RV Uthappa
SR Watson,SV Samson,KK Nair,BJ Hodge,JP Faulkner,KK Cooper,DS Kulkarni,PV Tambe,0,0,0,LMP Simmons
Q de Kock,HM Amla,F du Plessis,AB de Villiers,JP Duminy,KJ Abbott,WD Parnell,R McLaren,AM Phangiso,Imran Tahir,0,V Sibanda
Q de Kock,HM Amla,F du Plessis,AB de Villiers,JP Duminy,DA Miller,R McLaren,WD Parnell,KJ Abbott,AM Phangiso,Imran Tahir,H Masakadza
H Masakadza,Sikandar Raza,R Mutumbami,E Chigumbura,SC Williams,MN Waller,LM Jongwe,P Utseya,J Nyumbu,T Kamungozi,T Panyangara,Q de Kock
AJ Finch,PJ Hughes,MR Marsh,GJ Bailey,GJ Maxwell,SPD Smith,BJ Haddin,JP Faulkner,MG Johnson,MA Starc,KW Richardson,Q de Kock
HM Amla,Q de Kock,F du Plessis,RR Rossouw,DA Miller,JP Duminy,R McLaren,DW Steyn,KJ Abbott,AM Phangiso,Imran Tahir,TMK Mawoyo
AJ Finch,PJ Hughes,MJ Clarke,GJ Bailey,GJ Maxwell,MR Marsh,BJ Haddin,JP Faulkner,MA Starc,BCJ Cutting,NM Lyon,TMK Mawoyo
AJ Finch,PJ Hughes,SPD Smith,GJ Maxwell,GJ Bailey,MR Marsh,BJ Haddin,MG Johnson,MA Starc,KW Richardson,NM Lyon,HM Amla
AJ Finch,PJ Hughes,SPD Smith,GJ Bailey,MR Marsh,GJ Maxwell,BJ Haddin,JP Faulkner,MG Johnson,MA Starc,NM Lyon,HM Amla
Zeeshan Siddiqui,Zeeshan Maqsood,Arif Hussain,Khawar Ali,VS Wategaonkar,Sultan Ahmed,Aamir Kaleem,Amir Ali,M Ansari,RJ Ranpura,Mohammad Nadeem,Anwar Arudin
Amjad Ali,Salman Faris,Khurram Khan,SP Patil,Shaiman Anwar,Krishna Chandran,Mohammad Shahzad (2),Fayyaz Ahmed,Mohammad Naveed,Kamran Shazad,Noor-ul-Amin,SP Khakurel
Noor Ali Zadran,Usman Ghani,Rahmat Shah,Samiullah Shenwari,Hashmatullah Shahidi,Mohammad Nabi,Shafiqullah,Shapoor Zadran,Dawlat Zadran,Mirwais Ashraf,Amir Hamza,Amjad Ali
Anwar Arudin,Suhan Alagaratnam,Ahmed Faiz Mohammad Noor,Nasir Shafiq,Shafiq Sharif,Khizar Hayat,Suharril Fetri,Muhammad Wafiq,Shahrulnizam Yusof,Hassan Ghulam,S Navaratnam,SP Khakurel
Zeeshan Siddiqui,Zeeshan Maqsood,Khawar Ali,VS Wategaonkar,Arif Hussain,AV Lalcheta,Aamir Kaleem,Sultan Ahmed,Amir Ali,RJ Ranpura,M Ansari,Irfan Ahmed
Irfan Ahmed,Skhawat Ali,JJ Atkinson,Nizakat Khan,Babar Hayat,Waqas Barkat,Ankur Sharma,Haseeb Amjad,Tanwir Afzal,Nadeem Ahmed,Ehsan Nawaz,Amjad Ali
Zeeshan Siddiqui,Zeeshan Maqsood,Arif Hussain,VS Wategaonkar,Khawar Ali,Aamir Kaleem,Sultan Ahmed,Amir Ali,AV Lalcheta,RJ Ranpura,M Ansari,Noor Ali Zadran
Irfan Ahmed,Waqas Barkat,Nizakat Khan,JJ Atkinson,Babar Hayat,Ankur Sharma,JPR Lamsam,Haseeb Amjad,Tanwir Afzal,Nadeem Ahmed,Ehsan Nawaz,SP Khakurel
Nasir Shafiq,Anwar Arudin,Ahmed Faiz Mohammad Noor,Shafiq Sharif,Suhan Alagaratnam,Suharril Fetri,Hammadullah Khan,Khizar Hayat,Hassan Ghulam,Shahrulnizam Yusof,S Navaratnam,Amjad Ali
Noor Ali Zadran,Usman Ghani,Hashmatullah Shahidi,Nasir Jamal,Samiullah Shenwari,Mohammad Nabi,Shafiqullah,Mirwais Ashraf,Dawlat Zadran,Amir Hamza,Shapoor Zadran,SP Khakurel
Nasir Shafiq,Anwar Arudin,Ahmed Faiz Mohammad Noor,Shafiq Sharif,Suharril Fetri,Hammadullah Khan,Khizar Hayat,HB Ralalage,Hassan Ghulam,Muhammad Wafiq,Shahrulnizam Yusof,Irfan Ahmed
AP Devcich,DG Brownlie,KS Williamson,LRPL Taylor,TWM Latham,JDS Neesham,L Ronchi,DL Vettori,NL McCullum,KD Mills,AF Milne,Mohammad Hafeez
Mohammad Hafeez,Ahmed Shehzad,Younis Khan,Asad Shafiq,Haris Sohail,Misbah-ul-Haq,Sarfraz Ahmed,Shahid Afridi,Wahab Riaz,Sohail Tanvir,Mohammad Irfan,DG Brownlie
Mohammad Hafeez,Ahmed Shehzad,Younis Khan,Asad Shafiq,Haris Sohail,Shahid Afridi,Umar Akmal,Sarfraz Ahmed,Sohail Tanvir,Mohammad Irfan,Wahab Riaz,MJ Guptill
MJ Guptill,DG Brownlie,KS Williamson,LRPL Taylor,CJ Anderson,TWM Latham,MJ Henry,AF Milne,MJ McClenaghan,DL Vettori,0,Nasir Jamshed
MJ Guptill,DG Brownlie,KS Williamson,LRPL Taylor,L Ronchi,TWM Latham,MJ Henry,AF Milne,MJ McClenaghan,AP Devcich,NL McCullum,Nasir Jamshed
JJ Roy,JE Root,AD Hales,EJG Morgan,BA Stokes,JC Buttler,SW Billings,AU Rashid,CJ Jordan,LE Plunkett,ST Finn,MJ Guptill
MJ Guptill,BB McCullum,KS Williamson,LRPL Taylor,GD Elliott,L Ronchi,MJ Santner,TG Southee,TA Boult,MJ McClenaghan,NL McCullum,JJ Roy
JJ Roy,AD Hales,EJG Morgan,JE Root,BA Stokes,JC Buttler,SW Billings,AU Rashid,DJ Willey,MA Wood,ST Finn,MJ Guptill
MJ Guptill,BB McCullum,KS Williamson,LRPL Taylor,GD Elliott,L Ronchi,MJ Santner,TG Southee,BM Wheeler,MJ McClenaghan,MJ Henry,JJ Roy
MJ Guptill,BB McCullum,KS Williamson,LRPL Taylor,MJ Santner,GD Elliott,L Ronchi,BM Wheeler,TG Southee,MJ Henry,AW Mathieson,JJ Roy
JA Burns,DA Warner,SPD Smith,GJ Bailey,GJ Maxwell,SR Watson,MR Marsh,MS Wade,MA Starc,NM Coulter-Nile,PJ Cummins,WTS Porterfield
JA Burns,DA Warner,SPD Smith,GJ Bailey,GJ Maxwell,SR Watson,MS Wade,MR Marsh,MA Starc,NM Coulter-Nile,PJ Cummins,JJ Roy
JA Burns,DA Warner,SPD Smith,GJ Bailey,GJ Maxwell,SR Watson,MR Marsh,MS Wade,NM Coulter-Nile,MA Starc,PJ Cummins,JJ Roy
JJ Roy,AD Hales,JWA Taylor,EJG Morgan,BA Stokes,JM Bairstow,MM Ali,LE Plunkett,CR Woakes,AU Rashid,ST Finn,JA Burns
JA Burns,AJ Finch,SPD Smith,GJ Bailey,GJ Maxwell,MR Marsh,MP Stoinis,MS Wade,JW Hastings,JL Pattinson,PJ Cummins,JJ Roy
JJ Roy,JWA Taylor,AD Hales,EJG Morgan,BA Stokes,JM Bairstow,MM Ali,DJ Willey,AU Rashid,MA Wood,RJW Topley,JA Burns
Tamim Iqbal,Anamul Haque,Mominul Haque,Mushfiqur Rahim,Shakib Al Hasan,Mahmudullah,Nasir Hossain,Ziaur Rahman,Mashrafe Mortaza,Abdur Razzak,Al-Amin Hossain,RV Uthappa
RV Uthappa,AM Rahane,CA Pujara,AT Rayudu,SK Raina,WP Saha,STR Binny,AR Patel,A Mishra,MM Sharma,UT Yadav,Tamim Iqbal
WU Tharanga,TM Dilshan,KC Sangakkara,DPMD Jayawardene,LD Chandimal,AD Mathews,NLTC Perera,SMA Priyanjan,KMDN Kulasekara,SL Malinga,HMRKB Herath,Ahmed Shehzad
WU Tharanga,TM Dilshan,KC Sangakkara,DPMD Jayawardene,AD Mathews,S Prasanna,SMA Priyanjan,NLTC Perera,KMDN Kulasekara,SL Malinga,HMRKB Herath,Ahmed Shehzad
Ahmed Shehzad,Sharjeel Khan,Mohammad Hafeez,Misbah-ul-Haq,Fawad Alam,Umar Akmal,Sohaib Maqsood,Shahid Afridi,Wahab Riaz,Saeed Ajmal,Mohammad Irfan,WU Tharanga
AD de Lange,R Gaznavi,CR Kumarage,CR Suryawanshi,KB Shinde,C Janik,A Mutreja,A Goenka,M Dharmichand,Abhiraj Singh,Amjad Mahboob,Abid Mushtaq
J Chaturanga,Adnan Butt,Mirza Baig,Adil Hanif,Mirza Yaqoob,Azeem ul Haq,Yasser Nazir,Anasim Khan,Yaser Sadeq,Huzaifa Akram,Sameer Minhas,Abdullah Shahid
Mohammed Irfan,Mudassar Ali,Ali Zaheer,Abid Mushtaq,Mohammed Ghulam,Hisham Mirza,Mohammad Amin,Abdul Jabar,Saad Khalid,Faizan Ali,Abdullah Akhunzada,Abdullah Shahid
A Mutreja,R Gaznavi,CR Kumarage,CR Suryawanshi,C Janik,Saad Janjua,KB Shinde,Abhiraj Singh,M Dharmichand,Amjad Mahboob,S Appusamy,Manoj Adhikari
J Chaturanga,Adnan Butt,Mirza Baig,Adil Hanif,Mirza Yaqoob,Azeem ul Haq,Yasser Nazir,Ubaid Minhas,Yaser Sadeq,Rashid Hussain,Sameer Minhas,Abdul Waheed
Manoj Adhikari,S Chhetri,SR Gurung,J Singye,S Tobgay,T Jamtsho,T Wangchuk,S Pradhan,L Yonten,DK Subba,Suman Pradhan,Mohammed Irfan
Abdul Waheed,Abdullah Qureshi,Ibrarul Haq,Hammad Saeed,Shahbaz Rasheed,Afzal Saleem,Mohammad Abdullah,Nadeem Javed,Akram Aslam,Faheem Afrad,0,Mohammed Irfan
Abdullah Shahid,M Azzam,Ahmed Hassan,Mohamed Rishwan,Shafraz Jaleel,Ahmed Faiz,Hassan Rasheed,Mohamed Mahfooz,Mihusan Hamid,Ibrahim Hassan,S Saeed,CR Kumarage
Zameer Khan,FA Klokker,Rizwan Mahmood,HAM Shah,Zishan Shah,Kamran Mahmood,A Khan,Yasir Iqbal,Aftab Ahmed (2),A Bulow,Bashir Shah,AD de Lange
Zeeshan Siddiqui,Zeeshan Maqsood,Arif Hussain,VS Wategaonkar,Adnan Ilyas,Sultan Ahmed,Aamir Kaleem,Amir Ali,AV Lalcheta,RJ Ranpura,M Ansari,AM Northcote
NAT Watkins,PW Gough,BDH Stevens,JW Jenner,ASJ Dewhurst,C Bisson,EJ Farley,SSJ Dewhurst,CJ Bodenstein,TE Minty,AW Hawkins-Kay,Anwar Arudin
Zameer Khan,FA Klokker,Rizwan Mahmood,HAM Shah,Zishan Shah,Kamran Mahmood,A Khan,Yasir Iqbal,Aftab Ahmed (2),Bashir Shah,RB Javed,Anwar Arudin
PW Gough,NAT Watkins,BDH Stevens,JW Jenner,DA Morrison,ASJ Dewhurst,EJ Farley,SSJ Dewhurst,CJ Bodenstein,AW Hawkins-Kay,CW Perchard,Zeeshan Siddiqui
AM Northcote,DA Marage,A Bonora,DG Crowley,CS Sandri,MG Raso,V Pennazza,WTN Fernando,GRD Munasinghe,Fida Hussain,MGSM Fernando,JW Jenner
AD de Lange,CR Kumarage,CR Suryawanshi,R Gaznavi,C Janik,Saad Janjua,KB Shinde,M Dharmichand,S Vijayakumar,Amjad Mahboob,Abhiraj Singh,Anwar Arudin
FA Klokker,A Khan,MR Pedersen,Zishan Shah,Shehzad Ahmed,HAM Shah,Yasir Iqbal,Kamran Mahmood,Aftab Ahmed (2),Bashir Shah,RB Javed,Zeeshan Siddiqui
Zeeshan Siddiqui,Zeeshan Maqsood,Jatinder Singh,Arif Hussain,Adnan Ilyas,AV Lalcheta,Sultan Ahmed,Amir Ali,Aamir Kaleem,RJ Ranpura,M Ansari,AD de Lange
Zeeshan Siddiqui,Zeeshan Maqsood,Jatinder Singh,Arif Hussain,VS Wategaonkar,Sultan Ahmed,Amir Ali,Aamir Kaleem,RJ Ranpura,AV Lalcheta,M Ansari,Hammadullah Khan
PW Gough,EJ Farley,BDH Stevens,NAT Watkins,DA Morrison,ASJ Dewhurst,SSJ Dewhurst,CJ Bodenstein,AW Hawkins-Kay,CW Perchard,JN Duckett,AD de Lange
Zameer Khan,HAM Shah,Rizwan Mahmood,Zishan Shah,Kamran Mahmood,MR Pedersen,A Khan,Aftab Ahmed (2),Yasir Iqbal,A Bulow,Bashir Shah,AM Northcote
Zeeshan Siddiqui,Zeeshan Maqsood,Jatinder Singh,Arif Hussain,Adnan Ilyas,Sultan Ahmed,Amir Ali,Aamir Kaleem,AV Lalcheta,Sufyan Mehmood,M Ansari,PW Gough
MJ Guptill,JDS Neesham,DG Brownlie,BB McCullum,TWM Latham,CJ Anderson,L Ronchi,DL Vettori,NL McCullum,KD Mills,TA Boult,Q de Kock
HM Amla,Q de Kock,F du Plessis,AB de Villiers,JP Duminy,DA Miller,RR Rossouw,VD Philander,DW Steyn,Imran Tahir,M Morkel,MJ Guptill
FDM Karunaratne,TM Dilshan,KC Sangakkara,DPMD Jayawardene,AD Mathews,HDRL Thirimanne,BMAJ Mendis,NLTC Perera,SMSM Senanayake,KMDN Kulasekara,RMS Eranga,MJ Guptill
MJ Guptill,BB McCullum,TWM Latham,LRPL Taylor,DL Vettori,CJ Anderson,NL McCullum,AF Milne,MJ Henry,TA Boult,L Ronchi,FDM Karunaratne
FDM Karunaratne,TM Dilshan,KC Sangakkara,DPMD Jayawardene,AD Mathews,HDRL Thirimanne,NLTC Perera,BMAJ Mendis,KMDN Kulasekara,SMSM Senanayake,HMRKB Herath,MJ Guptill
MJ Guptill,KS Williamson,BB McCullum,LRPL Taylor,GD Elliott,CJ Anderson,L Ronchi,TG Southee,TA Boult,NL McCullum,MJ McClenaghan,HDRL Thirimanne
MJ Guptill,BB McCullum,KS Williamson,LRPL Taylor,CJ Anderson,L Ronchi,GD Elliott,DL Vettori,KD Mills,TA Boult,MJ McClenaghan,HDRL Thirimanne
HDRL Thirimanne,TM Dilshan,KC Sangakkara,DPMD Jayawardene,S Prasanna,LD Chandimal,NLTC Perera,KMDN Kulasekara,RMS Eranga,PVD Chameera,0,MJ Guptill
Mohammad Hafeez,Younis Khan,Ahmed Shehzad,Misbah-ul-Haq,Haris Sohail,Umar Akmal,Sarfraz Ahmed,Shahid Afridi,Bilawal Bhatti,Ehsan Adil,Mohammad Irfan,MJ Guptill
MJ Guptill,BB McCullum,KS Williamson,LRPL Taylor,GD Elliott,L Ronchi,NL McCullum,TG Southee,TA Boult,DL Vettori,AF Milne,Mohammad Hafeez
TM Dilshan,MDKJ Perera,KC Sangakkara,DPMD Jayawardene,AD Mathews,NLTC Perera,HDRL Thirimanne,BMAJ Mendis,KTGD Prasad,BAW Mendis,HMRKB Herath,AN Cook
AN Cook,MM Ali,IR Bell,JE Root,EJG Morgan,RS Bopara,JC Buttler,CR Woakes,JC Tredwell,ST Finn,HF Gurney,TM Dilshan
TM Dilshan,MDKJ Perera,KC Sangakkara,SHT Kandamby,AD Mathews,HDRL Thirimanne,BMAJ Mendis,NLTC Perera,KTGD Prasad,HMRKB Herath,BAW Mendis,AN Cook
MM Ali,AD Hales,JWA Taylor,JE Root,RS Bopara,EJG Morgan,JC Buttler,BA Stokes,CR Woakes,CJ Jordan,ST Finn,TM Dilshan
DPMD Jayawardene,TM Dilshan,KC Sangakkara,S Prasanna,AD Mathews,LD Chandimal,NLTC Perera,BMAJ Mendis,SMSM Senanayake,RAS Lakmal,0,AN Cook
DPMD Jayawardene,TM Dilshan,KC Sangakkara,AD Mathews,LD Chandimal,NLTC Perera,BMAJ Mendis,S Prasanna,MDK Perera,RAS Lakmal,0,AN Cook
DA Warner,AJ Finch,MJ Clarke,SR Watson,GJ Bailey,MR Marsh,MS Wade,GJ Maxwell,MG Johnson,NM Coulter-Nile,JR Hazlewood,HM Amla
DA Warner,SR Watson,AJ Finch,SPD Smith,GJ Bailey,MR Marsh,MS Wade,GJ Maxwell,MG Johnson,NM Coulter-Nile,JR Hazlewood,Q de Kock
AJ Finch,DA Warner,SR Watson,SPD Smith,GJ Bailey,MR Marsh,MS Wade,MA Starc,JR Hazlewood,KW Richardson,XJ Doherty,HM Amla
Q de Kock,HM Amla,F du Plessis,AB de Villiers,DA Miller,F Behardien,R McLaren,RJ Peterson,WD Parnell,DW Steyn,KJ Abbott,AJ Finch
HM Amla,Q de Kock,RR Rossouw,F du Plessis,DA Miller,F Behardien,WD Parnell,R McLaren,M Morkel,KJ Abbott,RJ Peterson,DA Warner
RG Sharma,S Dhawan,AM Rahane,V Kohli,SK Raina,MS Dhoni,AR Patel,R Ashwin,B Kumar,Mohammed Shami,UT Yadav,AJ Finch
IR Bell,JWA Taylor,JE Root,MM Ali,EJG Morgan,RS Bopara,JC Buttler,CR Woakes,CJ Jordan,ST Finn,SCJ Broad,DA Warner
AM Rahane,S Dhawan,AT Rayudu,V Kohli,SK Raina,MS Dhoni,STR Binny,AR Patel,B Kumar,Mohammed Shami,UT Yadav,IR Bell
MM Ali,IR Bell,JWA Taylor,JE Root,EJG Morgan,JC Buttler,RS Bopara,CR Woakes,SCJ Broad,JM Anderson,ST Finn,AJ Finch
